author,year,intervention_name,scale_name,delay,paper_title,coder,lab_or_field,lab_field,program_name,publication_type,origin,setting,stage_in_life,mean_age,participant_sex,percent_of_male,percent_dominant_racial_or_ethnic_group,country,state,number_of_participant,type_of_control,intrevention_description,brief_description_of_the_intervention,delivery_of_treatment,intervention_length,time_intervention_took,additional_contact,stated_purpose_of_the_intervention,intervention_description,stated_purpose,condition_gender,n_items,contains_randomization,partial_analysis,study_design,is_primary,scale_type,type_of_at_risk_population,n_conditions,n_c_pre,n_c_post,n_t_pre,n_t_post,n_t_group,n_c_group,cluster_type,eff_type,u_s_d,anticipated_direction,ctrl_sd,page_number,comments,d,var_d,se_d,checked,checker_comment,is_red
jouriles,2017,takecare in the lab,Bystand behavior friends scale,30,"TakeCARE, a Video to Promote Bystander Behavior on College Campuses: Replication and Extension",jh,0,lab,TakeCare,1,5,3,3,20.15,3,0.23,0.596,us,NA,380,2,1,"TakeCARE is a brief (approximately 24 min) video program developed to address the need for an efficacious, easy-to-implement and disseminate bystander education program for college students",4,0,,0,"4, 5",NA,"4, 5",both,49,NA,NA,rct,TRUE,behavior,-,3,,183,,180,-,-,-,d.i.d,2.66,1,18.71,12,NA,0.142,1.10E-02,0.105,,,#ffffff
jouriles,2017,takecare on your own,Bystand behavior friends scale,30,"TakeCARE, a Video to Promote Bystander Behavior on College Campuses: Replication and Extension",jh,1,field,TakeCare,1,5,3,3,20.15,3,0.23,0.596,us,NA,369,2,1,"TakeCARE is a brief (approximately 24 min) video program developed to address the need for an efficacious, easy-to-implement and disseminate bystander education program for college students",4,0,,0,"4, 5",NA,"4, 5",both,49,NA,NA,rct,TRUE,behavior,-,3,,183,,168,-,-,-,d.i.d,2.75,1,18.71,12,NA,0.147,1.10E-02,0.105,,,#ffffff
muck,2018,scientist-practitioner program,victimization,183,Preventing Sexual Violence in Adolescence: Comparison of a Scientist-Practitioner Program and a Practitioner Program Using a Cluster- Randomized Design,Paloma,0,field,scientist-practitioner program (SPP),1,2,2,2,14.18,4,47%,NA,Germany,NA,323,1,1,"For the SPP, the first SPP session was identical to the PP. The SPP also con- sisted of a second 90-min session, where students were separated by gender and dealt with the subject more actively through role-playing and group dis- cussions. As previous prevention research has shown that active participa- tion, the use of several sessions, and a combination of mixed- and single-gender aspects yield greater effect sizes for knowlede acquisition and attitude changes, the SPP therefore integrated elements that should facilitate the program’s effectiveness. 
The curriculum included the follow- ing content: (a) general knowledge about SV: providing a definition and general information about SV; (2) knowledge about professional help: pro- viding information about local and online professional help services; (3) vic- tim blaming: discussing rape myths, in particular, victim-blaming attitudes, through various sample cases; and (4) personal space: raising the perception and appraisal for one’s own and others’ personal space through practical exercises.",5,1,,0,"2,9,3",NA,"2,9,3",both,6,NA,NA,rct,FALSE,behavior,-,3,,157,,166,10,9,cluster randomized,d.i.d,-0.11,1,0.583,15,NA,-0.188,0.193,0.439,,,#ffffff
muck,2018,scientist-practitioner program,perpetration,183,Preventing Sexual Violence in Adolescence: Comparison of a Scientist-Practitioner Program and a Practitioner Program Using a Cluster- Randomized Design,Paloma,0,field,scientist-practitioner program (SPP),1,2,2,2,14.18,4,47%,NA,Germany,NA,323,1,1,"For the SPP, the first SPP session was identical to the PP. The SPP also con- sisted of a second 90-min session, where students were separated by gender and dealt with the subject more actively through role-playing and group dis- cussions. As previous prevention research has shown that active participa- tion, the use of several sessions, and a combination of mixed- and single-gender aspects yield greater effect sizes for knowlede acquisition and attitude changes, the SPP therefore integrated elements that should facilitate the program’s effectiveness. 
The curriculum included the follow- ing content: (a) general knowledge about SV: providing a definition and general information about SV; (2) knowledge about professional help: pro- viding information about local and online professional help services; (3) vic- tim blaming: discussing rape myths, in particular, victim-blaming attitudes, through various sample cases; and (4) personal space: raising the perception and appraisal for one’s own and others’ personal space through practical exercises.",5,1,,0,"2,9,3",NA,"2,9,3",both,6,NA,NA,rct,FALSE,behavior,-,3,,157,,166,10,9,cluster randomized,d.i.d,1.50E-02,-1,0.23,15,NA,6.50E-02,0.193,0.439,,,#ffffff
muck,2018,scientist-practitioner program,general knowledge,183,Preventing Sexual Violence in Adolescence: Comparison of a Scientist-Practitioner Program and a Practitioner Program Using a Cluster- Randomized Design,Paloma,0,field,scientist-practitioner program (SPP),1,2,2,2,14.18,4,47%,NA,Germany,NA,323,1,1,"For the SPP, the first SPP session was identical to the PP. The SPP also con- sisted of a second 90-min session, where students were separated by gender and dealt with the subject more actively through role-playing and group dis- cussions. As previous prevention research has shown that active participa- tion, the use of several sessions, and a combination of mixed- and single-gender aspects yield greater effect sizes for knowlede acquisition and attitude changes, the SPP therefore integrated elements that should facilitate the program’s effectiveness. 
The curriculum included the follow- ing content: (a) general knowledge about SV: providing a definition and general information about SV; (2) knowledge about professional help: pro- viding information about local and online professional help services; (3) vic- tim blaming: discussing rape myths, in particular, victim-blaming attitudes, through various sample cases; and (4) personal space: raising the perception and appraisal for one’s own and others’ personal space through practical exercises.",5,1,,0,"2,9,3",NA,"2,9,3",both,15,NA,NA,rct,FALSE,attitudes,-,3,,157,,166,10,9,cluster randomized,d.i.d,2.49,1,2.51,15,NA,0.992,0.216,0.465,,,#ffffff
muck,2018,practitioner program,victimization,183,Preventing Sexual Violence in Adolescence: Comparison of a Scientist-Practitioner Program and a Practitioner Program Using a Cluster- Randomized Design,Paloma,0,field,practitioner program (PP),1,2,2,2,14.18,3,43.90%,NA,Germany,NA,287,1,1,"The PP, a combination of psychoeducational and active participation elements, was imple- mented in a mixed-gender audience only. Content was delivered via input presentations, worksheets, and quizzes. It consisted of one 90-min session; therefore, the PP is likely easy to implement into everyday school practice.
The curriculum included the follow- ing content: (a) general knowledge about SV: providing a definition and general information about SV; (2) knowledge about professional help: pro- viding information about local and online professional help services; (3) vic- tim blaming: discussing rape myths, in particular, victim-blaming attitudes, through various sample cases; and (4) personal space: raising the perception and appraisal for one’s own and others’ personal space through practical exercises.","1,2",1,,0,"2,9,3",NA,"2,9,3",both,6,NA,NA,rct,FALSE,behavior,-,3,,157,,130,8,9,cluster randomized,d.i.d,-0.225,1,0.583,15,NA,-0.385,0.217,0.466,,,#ffffff
muck,2018,practitioner program,perpetration,183,Preventing Sexual Violence in Adolescence: Comparison of a Scientist-Practitioner Program and a Practitioner Program Using a Cluster- Randomized Design,Paloma,0,field,practitioner program (PP),1,2,2,2,14.18,3,43.90%,NA,Germany,NA,287,1,1,"The PP, a combination of psychoeducational and active participation elements, was imple- mented in a mixed-gender audience only. Content was delivered via input presentations, worksheets, and quizzes. It consisted of one 90-min session; therefore, the PP is likely easy to implement into everyday school practice.
The curriculum included the follow- ing content: (a) general knowledge about SV: providing a definition and general information about SV; (2) knowledge about professional help: pro- viding information about local and online professional help services; (3) vic- tim blaming: discussing rape myths, in particular, victim-blaming attitudes, through various sample cases; and (4) personal space: raising the perception and appraisal for one’s own and others’ personal space through practical exercises.","1,2",1,,0,"2,9,3",NA,"2,9,3",both,6,NA,NA,rct,FALSE,behavior,-,3,,157,,130,8,9,cluster randomized,d.i.d,-0.105,1,0.23,15,NA,-0.456,0.218,0.467,,,#ffffff
muck,2018,practitioner program,general knowledge,183,Preventing Sexual Violence in Adolescence: Comparison of a Scientist-Practitioner Program and a Practitioner Program Using a Cluster- Randomized Design,Paloma,0,field,practitioner program (PP),1,2,2,2,14.18,3,43.90%,NA,Germany,NA,287,1,1,"The PP, a combination of psychoeducational and active participation elements, was imple- mented in a mixed-gender audience only. Content was delivered via input presentations, worksheets, and quizzes. It consisted of one 90-min session; therefore, the PP is likely easy to implement into everyday school practice.
The curriculum included the follow- ing content: (a) general knowledge about SV: providing a definition and general information about SV; (2) knowledge about professional help: pro- viding information about local and online professional help services; (3) vic- tim blaming: discussing rape myths, in particular, victim-blaming attitudes, through various sample cases; and (4) personal space: raising the perception and appraisal for one’s own and others’ personal space through practical exercises.","1,2",1,,0,"2,9,3",NA,"2,9,3",both,15,NA,NA,rct,FALSE,attitudes,-,3,,157,,130,8,9,cluster randomized,d.i.d,2.05,1,2.51,15,NA,0.817,0.23,0.48,,,#ffffff
muck,2018,practitioner program,general knowledge,0,Preventing Sexual Violence in Adolescence: Comparison of a Scientist-Practitioner Program and a Practitioner Program Using a Cluster- Randomized Design,Paloma,0,field,practitioner program (PP),1,2,2,2,14.18,3,43.90%,NA,Germany,NA,287,1,1,"The PP, a combination of psychoeducational and active participation elements, was imple- mented in a mixed-gender audience only. Content was delivered via input presentations, worksheets, and quizzes. It consisted of one 90-min session; therefore, the PP is likely easy to implement into everyday school practice.
The curriculum included the follow- ing content: (a) general knowledge about SV: providing a definition and general information about SV; (2) knowledge about professional help: pro- viding information about local and online professional help services; (3) vic- tim blaming: discussing rape myths, in particular, victim-blaming attitudes, through various sample cases; and (4) personal space: raising the perception and appraisal for one’s own and others’ personal space through practical exercises.","1,2",1,,0,"2,9,3",NA,"2,9,3",both,15,NA,NA,rct,FALSE,attitudes,-,3,,157,,130,8,9,cluster randomized,d.i.d,2.45,1,2.51,15,NA,0.976,0.238,0.488,,,#ffffff
muck,2018,scientist-practitioner program,general knowledge,0,Preventing Sexual Violence in Adolescence: Comparison of a Scientist-Practitioner Program and a Practitioner Program Using a Cluster- Randomized Design,Paloma,0,field,scientist-practitioner program (SPP),1,2,2,2,14.18,4,47%,NA,Germany,NA,323,1,1,"For the SPP, the first SPP session was identical to the PP. The SPP also con- sisted of a second 90-min session, where students were separated by gender and dealt with the subject more actively through role-playing and group dis- cussions. As previous prevention research has shown that active participa- tion, the use of several sessions, and a combination of mixed- and single-gender aspects yield greater effect sizes for knowlede acquisition and attitude changes, the SPP therefore integrated elements that should facilitate the program’s effectiveness. 
The curriculum included the follow- ing content: (a) general knowledge about SV: providing a definition and general information about SV; (2) knowledge about professional help: pro- viding information about local and online professional help services; (3) vic- tim blaming: discussing rape myths, in particular, victim-blaming attitudes, through various sample cases; and (4) personal space: raising the perception and appraisal for one’s own and others’ personal space through practical exercises.",5,1,,0,"2,9,3",NA,"2,9,3",both,15,NA,NA,rct,FALSE,attitudes,-,3,,157,,166,10,9,cluster randomized,d.i.d,5.18,1,2.51,15,NA,2.06,0.295,0.543,,,#ffffff
sanchez-jimenez,2018,date adolescence,Conflict Tactics Scale - Physical violence agression,183,"Efficacy evaluation of ""Dat-e Adolescence"": A dating violence prevention program in Spain",Paloma,0,field,Dat-e Adolescence,1,2,2,2,14.73,5,52.30%,NA,Spain,Andalucia,1764,1,1,"The Dat-e Adolescence program is a multi-component, school-based prevention program directed at young people between the ages of 12 and 19 years. It comprises seven 1-hour long sessions that can be implemented during school hours. The characteristics that define the pro- gram are as follows: a) it addresses traditional and online forms of violence to help boys and girls become aware of the different expressions of violence that dating couples may experience; b) it takes into account that dating violence is mainly mutual or reciprocal; c) it involves intervention-oriented activities that examine the associated risk factors, emphasizing the important role that beliefs, attitudes and conflict resolution strategies play in the couple’s rela- tional dynamic; d) following the recommendations of previous meta-analyses and the positive outcomes being achieved by these programs in preventing dating violence  and bullying, the role of peers was emphasized in this program. Specifically, it incorporated a peer model component, meaning that classmates themselves are tasked with leading some of the sessions; e) it combines classroom and web-based activities, the latter via the program’s online platform; f) it welcomes a final activity organized by the participating schools covering the main content and lessons learned following intervention; and g) it adopts a constructivist and experiential approach that encourages content learning through different teaching and learning experiences. The proposed activities include role-playing, watching videos, debates, decision-making games, displays and group dynamic exercises.","7,5,3",7,,0,"1,3,5",NA,"1,3,5",both,4.5,NA,NA,rct,FALSE,behavior,-,2,,489,,520,4,3,cluster randomized,d.i.d,-0.01,1,0.18,14,NA,-5.60E-02,0.414,0.643,,,#ffffff
sanchez-jimenez,2018,date adolescence,Conflict Tactics Scale - Physical violence victimization,183,"Efficacy evaluation of ""Dat-e Adolescence"": A dating violence prevention program in Spain",Paloma,0,field,Dat-e Adolescence,1,2,2,2,14.73,5,52.30%,NA,Spain,Andalucia,1764,1,1,"The Dat-e Adolescence program is a multi-component, school-based prevention program directed at young people between the ages of 12 and 19 years. It comprises seven 1-hour long sessions that can be implemented during school hours. The characteristics that define the pro- gram are as follows: a) it addresses traditional and online forms of violence to help boys and girls become aware of the different expressions of violence that dating couples may experience; b) it takes into account that dating violence is mainly mutual or reciprocal; c) it involves intervention-oriented activities that examine the associated risk factors, emphasizing the important role that beliefs, attitudes and conflict resolution strategies play in the couple’s rela- tional dynamic; d) following the recommendations of previous meta-analyses and the positive outcomes being achieved by these programs in preventing dating violence  and bullying, the role of peers was emphasized in this program. Specifically, it incorporated a peer model component, meaning that classmates themselves are tasked with leading some of the sessions; e) it combines classroom and web-based activities, the latter via the program’s online platform; f) it welcomes a final activity organized by the participating schools covering the main content and lessons learned following intervention; and g) it adopts a constructivist and experiential approach that encourages content learning through different teaching and learning experiences. The proposed activities include role-playing, watching videos, debates, decision-making games, displays and group dynamic exercises.","7,5,3",7,,0,"1,3,5",NA,"1,3,5",both,4.5,NA,NA,rct,FALSE,behavior,-,2,,489,,520,4,3,cluster randomized,d.i.d,-0.02,1,0.23,14,NA,-8.70E-02,0.414,0.643,,,#ffffff
sanchez-jimenez,2018,date adolescence,Myths of Romantic Love,183,"Efficacy evaluation of ""Dat-e Adolescence"": A dating violence prevention program in Spain",Paloma,0,field,Dat-e Adolescence,1,2,2,2,14.73,5,52.30%,NA,Spain,Andalucia,1764,1,1,"The Dat-e Adolescence program is a multi-component, school-based prevention program directed at young people between the ages of 12 and 19 years. It comprises seven 1-hour long sessions that can be implemented during school hours. The characteristics that define the pro- gram are as follows: a) it addresses traditional and online forms of violence to help boys and girls become aware of the different expressions of violence that dating couples may experience; b) it takes into account that dating violence is mainly mutual or reciprocal; c) it involves intervention-oriented activities that examine the associated risk factors, emphasizing the important role that beliefs, attitudes and conflict resolution strategies play in the couple’s rela- tional dynamic; d) following the recommendations of previous meta-analyses and the positive outcomes being achieved by these programs in preventing dating violence  and bullying, the role of peers was emphasized in this program. Specifically, it incorporated a peer model component, meaning that classmates themselves are tasked with leading some of the sessions; e) it combines classroom and web-based activities, the latter via the program’s online platform; f) it welcomes a final activity organized by the participating schools covering the main content and lessons learned following intervention; and g) it adopts a constructivist and experiential approach that encourages content learning through different teaching and learning experiences. The proposed activities include role-playing, watching videos, debates, decision-making games, displays and group dynamic exercises.","7,5,3",7,,0,"1,3,5",NA,"1,3,5",both,16,NA,NA,rct,FALSE,attitudes,-,2,,672,,764,4,3,cluster randomized,d.i.d,-0.5375,1,1.14,14,NA,-0.469,0.425,0.652,,,#ffffff
spikes,2018,male speaker ted talk,Beliefs about Sexual Assault and Consent,0,Boomerang Effects of Sexual-Violence Prevention Messages on College Men’s Attitudes,Paloma,0,lab,NA,1,2,3,3,22.5,5,NA,NA,US,NA,45,1,1,"The first experimental condition featured a TED talk from a man’s perspective. It was titled “Re-thinking sexual assault prevention in high school and college” and delivered by John Kalin, president of Male Athletes against Violence at Colby College (TEDx Talks, 2013). The talk is 12 minutes and 4 seconds long, and has been viewed on YouTube approximately 65,000 times. As of October 2018, it has been upvoted 282 times and downvoted 44 times.",4,1,,0,"3,5,9",NA,"3,5,9",male,4,NA,NA,rct,FALSE,attitudes,-,3,,22,,26,-,-,-,d.i.m,0.09,1,1.31,12,NA,6.90E-02,8.10E-02,0.285,,,#ffffff
spikes,2018,female speaker ted talk,Beliefs about Sexual Assault and Consent,0,Boomerang Effects of Sexual-Violence Prevention Messages on College Men’s Attitudes,Paloma,0,lab,NA,1,2,3,3,22.5,5,NA,NA,US,NA,48,1,1,"The second experimental condition featured a TED talk from a woman’s perspective. It was titled “A life of rape culture” and delivered by Brynne Thomas, a Trinity College student at the time (TEDx Talks, 2015). The talk was deemed the winning presentation in an Equity and Social Justice class. It is 11 minutes and 20 seconds long, and has been viewed on YouTube about 37,000 times. As of October 2018, the talk had been upvoted 635 times and downvoted about 1,100 times.",4,1,,0,"3,5,9",NA,"3,5,9",male,4,NA,NA,rct,FALSE,attitudes,-,3,,22,,23,-,-,-,d.i.m,-0.31,-1,1.31,12,NA,-0.237,8.60E-02,0.293,,,#ffffff
fischer,1986,human sexuality course (1983),"""is it rape?""",0,College student attitudes toward forcible date rape: Changes after taking a human sexuality course,jh,1,field,-,1,1,3,3,NA,3,NA,NA,us,NA,284,2,0.5,lecture on rape in three classes - legal,2,70,,0,1,NA,1,both,1,NA,NA,quasi-experimental,FALSE,attitudes,-,2,,92,,192,3,1,cluster randomized,d.i.d,-0.413,1,0.8,6,NA,-0.414,1.60E-02,0.236,,,#ffffff
fischer,1986,human sexuality course (1982),"""is it rape?""",0,College student attitudes toward forcible date rape: Changes after taking a human sexuality course,jh,1,field,-,1,1,3,3,NA,3,0.4412811388,NA,us,NA,398,2,0.5,lecture on rape in three classes either confrontational or legal,2,70,,0,"7, 11",NA,"7, 11",both,1,NA,NA,quasi-experimental,FALSE,attitudes,-,2,,43,,114,3,1,cluster randomized,-,-0.43,-1,0.8,5,NA,-0.517,0.446,0.668,,,#ffffff
borden,1988,seminar,attitudes towards rape,28,Effects of a University Rape Prevention Program on Attitudes and Empathy Toward Rape,jh,1,field,-,1,1,3,3,19.86,3,0.5,NA,us,midwest,100,1,0.5,45-minute seminar on rape awareness,1,0,,0,"2, 7",NA,"2, 7",both,25,NA,NA,quasi-experimental,FALSE,attitudes,-,2,,50,,50,-,-,-,d.i.d,-2.04,-1,10.72,5,NA,-2.04,0.06,0.245,,,#ffffff
jones,1988,gender studies course,Sexist Attitudes Towards Women Scale,98,Changes in Sexist Attitudes Towards Women During Introductory Women's and Men's Studies Course,Matej,1,field,Introductory Women's and Men's Studies Course,1,1,3,3,19,3,42,62,USA,NA,405,1,NA,College introductory course in Women's and Men's Studies that counts towars curriculum requirement at the University.,1,14,,0,1,0.5,1,both,40,NA,NA,quasi-experimental,FALSE,attitudes,-,2,,120,,405,7,3,n groups,t.test,-7.61,1,-,614,theoretically there is enough info for DiD but not easily obtained. This n groups are class sections,-5.251,1.513,1.23,,,#ffffff
baylis,1990,safety van program,NA,NA,Combatting Sexual Assault: An Evaluation of a Prevention Program,Arielle,0,field,Safety Van Program,1,2,3,3,22,2,0,NA,NA,NA,120,1,1,evaulation of the reasoning behind campus bus use,NA,NA,,0,"1,2",NA,"1,2",both,NA,NA,NA,quasi-experimental,NA,NA,females living off campus,2,,NA,,NA,NA,NA,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,#ffffff
nelson,1990,video,forcible date rape scale,7,A Comparison of Strategies for Changing College Students' Attitudes Towards Acquaintance Rape,Matej,0,lab,"""Someone You Know: Acquaintance Rape"" videotape",1,1,3,3,19,3,31,NA,USA,NA,58,2,NA,Participants were asked to watch a 30 minutes long videotape on acquaintance rape.,4,1,,0,2,1,2,both,16,NA,NA,quasi-experimental,FALSE,attitudes,-,3,,25,,33,-,-,-,d.i.d,-9.55E-02,-1,no.sd,11,NA,-9.60E-02,7.00E-02,0.265,,,#ffffff
nelson,1990,brouchure,forcible date rape scale,7,A Comparison of Strategies for Changing College Students' Attitudes Towards Acquaintance Rape,Matej,0,lab,"""What Women and Men Should Know about Date Rape"" brochure
",1,1,3,3,19,3,29,NA,USA,NA,56,2,NA,Participants were asked to read a pamphlet on date rape that took approximately 10 minutes to read.,6,1,,0,2,1,2,both,16,NA,NA,quasi-experimental,FALSE,attitudes,-,3,,25,,31,-,-,-,d.i.d,0.5269,-1,no.sd,11,NA,0.527,7.10E-02,0.266,,,#ffffff
pohl,1990,treatment,rape myth acceptance,7,Adolescent sexual abuse: an evaluation of perpetrator and victim prevention program,jh,1,field,NA,4,1,2,2,15,1,1,0.58,us,NA,281,1,0.5,5-session one hour a day adolescent sexual abuse prevention program adopted from San-Francisco based Children's Self-Help Project,5,5,,0,"1, 9, 11",NA,"1, 9, 11",male,19,NA,NA,quasi-experimental,FALSE,attitudes,-,2,,143.75,,86.25,3,5,cluster randomized,f.test,8.61,1,-,66,NA,2.14,0.62,0.787,,,#ffffff
gibson,1991,date rape workshop,SES - perp,70,An intervention designed to modify attitudes toward acquaintance rape in college students,jh,1,field,-,4,1,3,3,NA,3,0.3636363636,NA,us,northeastern,2100,2,1,50-minute long presentations presented in groups of 16-20 students with both didactic and discussion components with the aim of confronting misinformation regarding beliefs and attitudes about rape,43500,0,,0,"1, 9",NA,"1, 9",male,4,NA,TRUE,quasi-experimental,FALSE,behavior,-,3,,59,,21,24,not given,n groups,log.odds.ratio,0.1265,-1,-,32,NA,6.98E-02,6.30E-02,0.251,,,#ffffff
gibson,1991,date rape workshop,ses - vict,70,An intervention designed to modify attitudes toward acquaintance rape in college students,jh,1,field,-,4,1,3,3,NA,3,0.3636363636,NA,us,northeastern,2100,2,1,50-minute long presentations presented in groups of 16-20 students with both didactic and discussion components with the aim of confronting misinformation regarding beliefs and attitudes about rape,43500,0,,0,"1, 9",NA,"1, 9",female,4,NA,TRUE,quasi-experimental,FALSE,behavior,-,3,,100,,40,24,not given,n groups,log.odds.ratio,-0.1294,1,-,32,NA,-7.14E-02,3.50E-02,0.187,,,#ffffff
gibson,1991,date rape workshop,SES - perp,70,An intervention designed to modify attitudes toward acquaintance rape in college students,jh,1,field,-,4,1,3,3,NA,3,0.3636363636,NA,us,northeastern,2100,2,1,50-minute long presentations presented in groups of 16-20 students with both didactic and discussion components with the aim of confronting misinformation regarding beliefs and attitudes about rape,43500,0,,0,"1, 9",NA,"1, 9",both,4,NA,NA,quasi-experimental,FALSE,behavior,-,3,,159,,61,24,not given,n groups,log.odds.ratio,0.549,-1,-,32,NA,0.303,2.30E-02,0.152,,,#ffffff
gibson,1991,date rape workshop,ses - vict,70,An intervention designed to modify attitudes toward acquaintance rape in college students,jh,1,field,-,4,1,3,3,NA,3,0.3636363636,NA,us,northeastern,2100,2,1,50-minute long presentations presented in groups of 16-20 students with both didactic and discussion components with the aim of confronting misinformation regarding beliefs and attitudes about rape,43500,0,,0,"1, 9",NA,"1, 9",both,4,NA,NA,quasi-experimental,FALSE,behavior,-,3,,159,,61,24,not given,n groups,log.odds.ratio,-0.15475,1,-,32,NA,-8.53E-02,2.30E-02,0.152,,,#ffffff
gibson,1991,date rape workshop,illinois rape myth acceptance scale,70,An intervention designed to modify attitudes toward acquaintance rape in college students,jh,1,field,-,4,1,3,3,NA,3,0.3636363636,NA,us,northeastern,2100,2,1,50-minute long presentations presented in groups of 16-20 students with both didactic and discussion components with the aim of confronting misinformation regarding beliefs and attitudes about rape,43500,0,,0,"1, 9",NA,"1, 9",both,14,NA,NA,quasi-experimental,FALSE,attitudes,-,3,,159,,61,24,not given,n groups,d.i.m,1.08,1,6.69,35,NA,0.162,2.30E-02,0.152,,,#ffffff
harrison,1991,video + discussion,perceptions of factual information,0,Date and acquaintance rape: Perceptions and attitude-change strategies,jh,1,field,-,1,1,3,3,19.5,3,0.4193548387,NA,us,ca,57,2,0,videotape on issues of date and acquaintance rape and participating in a facilitated instructional session,2,0,,0,1,NA,1,both,8,NA,NA,quasi-experimental,FALSE,attitudes,-,3,,19,,38,2,1,cluster randomized,d.i.m,-1.57,1,4.66,8,NA,-0.337,7.80E-02,0.279,,,#ffffff
harrison,1991,video,perceptions of factual information,0,Date and acquaintance rape: Perceptions and attitude-change strategies,jh,1,field,-,1,1,3,3,19.5,3,0.4193548387,NA,us,ca,48,2,0,videotape on issues of date and acquaintance rape,4,0,,0,1,NA,1,both,8,NA,NA,quasi-experimental,FALSE,attitudes,-,3,,19,,29,2,1,cluster randomized,d.i.m,-0.874,1,4.66,8,NA,-0.187,8.50E-02,0.292,,,#ffffff
ostrowski,1991,empathy & education,victim factor,0,Incidence and Attitudes Involving Sexual Assault During Courtship in an Undergraduate College Sample: The Effects of Education and Empathy Training,Anne,1,field,NA,4,1,3,3,19.39,1,46.2,97.1,US,South Dakota,183,2,0,"Students watched a professionally recorded videotape, ""It Still Hurts,"" processed the tape, and discussed it. The video contains an example of a courtship sexual assault, the consequence of the assault, and preventative measures. Training materials consisting of educational information regarding sexual assault during courtship, including incidence figures, risk factors, strategies to avoid such risks, and methods to more effectively communicate relationship issues to prevent such behaviors from occuring were implemented by residence assistants.","1,2,4",1,,0,"1,2",NA,"1,2",both,5,NA,NA,quasi-experimental,FALSE,attitudes,-,4,,67,,116,4,5,n groups,d.i.d,6.30E-02,-1,0.8804,93,NA,7.20E-02,2.30E-02,0.152,,,#ffffff
ostrowski,1991,empathy,victim factor,0,Incidence and Attitudes Involving Sexual Assault During Courtship in an Undergraduate College Sample: The Effects of Education and Empathy Training,Anne,1,field,NA,4,1,3,3,19.39,1,46.2,97.1,US,South Dakota,169,2,0,"Students watched a professionally recorded videotape, ""It Still Hurts,"" processed the tape, and discussed it. The video contains an example of a courtship sexual assault, the consequence of the assault, and preventative measures.","1,2,4",1,,0,"1,2",NA,"1,2",both,5,NA,NA,quasi-experimental,FALSE,attitudes,-,4,,67,,104,8,5,n groups,d.i.d,-0.1801,1,0.8804,93,NA,-0.205,2.40E-02,0.155,,,#ffffff
ostrowski,1991,education,victim factor,0,Incidence and Attitudes Involving Sexual Assault During Courtship in an Undergraduate College Sample: The Effects of Education and Empathy Training,Anne,1,field,NA,4,1,3,3,19.39,1,46.2,97.1,US,South Dakota,163,2,0,"Training materials consisting of educational information regarding sexual assault during courtship, including incidence figures, risk factors, strategies to avoid such risks, and methods to more effectively communicate relationship issues to prevent such behaviors from occuring were implemented by residence assistants.",1,1,,0,"1,2",NA,"1,2",both,5,NA,NA,quasi-experimental,FALSE,attitudes,-,4,,67,,96,5,5,n groups,d.i.d,-9.70E-02,-1,0.8804,93,NA,-0.111,2.50E-02,0.158,,,#ffffff
lenihan,1992,date rape presentation,rape myth acceptance,30,Gender Differences in Rape Supportive Attitudes Before and After a Date Rape Education Intervention,jh,1,field,-,1,1,3,3,18.8,3,0.3812423873,NA,us,midwest,821,1,0.5,"lectures and video about date rape situations, and sharing a date rape experience by one of the presenters","""1, 4, 9""",0,,0,"2, 11",NA,"2, 11",both,11,NA,NA,quasi-experimental,FALSE,attitudes,-,4,,410.5,,410.5,7.5,7.5,cluster randomized,f.test,116.87,1,-,7,NA,0.755,5.00E-03,0.071,,,#ffffff
dallager,1993,human sexuality course,rape myth acceptance,0,Effects of a Human Sexuality Course on Attitudes Toward Rape and Violence,jh,1,field,-,1,1,3,3,22,3,0.324137931,0.9172413793,us,midwest,145,2,0.5,"learned about sex, sti's, birth control, sexual misuse, sexual oppression",2,84,,0,11,NA,11,both,19,NA,NA,quasi-experimental,FALSE,attitudes,-,2,,48,,97,1,1,cluster randomized,f.test,7.17,1,-,7,NA,0.473,3.20E-02,0.179,,,#ffffff
hanson,1993,sexual assault prevention program,SES,7,Evaluation of a Sexual Assault Prevention Program,Manna,lab,lab,NA,1,1,3,3,26.78,2,0,94,USA,Ohio,360,2,1,"The specific content of the program was as follows: Initially, subjects were provided with statistics about the pervasiveness of sexual assault on college campuses. After the presentation of this information, subjects were given the Rape Myths and Facts Worksheet and allotted time to complete it. Afte that, subjects viewed a video depicting events leading up to an acquaintance rape that occurs during a college party. Following, the presenter asked a series of questions about possible protective measures that might have been helpful in avoiding the depicted acquaintance rape. After a discussion, subjects viewed a second video (with the same characters as the first) that modeled possible protective behaviors. Following a discussion of these protective behaviors, subjects were given the Preventive Strategies Information Sheet. Before concluding the session, the presenter entertained questions about information presented in the pro- gram and about sexual assault in general. On completion of the study, subjects were given the names of local agencies that could provide addi- tional information about sexual assault and could give assistance if needed.","1,2,4,6",9,,0,"2,9",NA,"2,9",female,10,NA,NA,quasi-experimental,FALSE,behavior,-,2,,164,,180,-,-,-,d.i.m,8.53E-02,1,0.658,5,NA,0.13,1.20E-02,0.11,,,#ffffff
