author,year,intervention_name,scale_name,delay,paper_title,coder,lab_or_field,lab_field,program_name,publication_type,origin,setting,stage_in_life,mean_age,participant_sex,percent_of_male,percent_dominant_racial_or_ethnic_group,country,state,number_of_participant,type_of_control,intervention_description,brief_description_of_the_intervention,delivery_of_treatment,intervention_length,time_intervention_took,additional_contact,stated_purpose_of_the_intervention,intervention_description,stated_purpose,condition_gender,n_items,contains_randomization,partial_analysis,study_design,is_primary,scale_type,type_of_at_risk_population,n_conditions,n_c_pre,n_c_post,n_t_pre,n_t_post,n_t_group,n_c_group,cluster_type,eff_type,u_s_d,anticipated_direction,ctrl_sd,page_number,comments,d,var_d,se_d,checked,checker_comment,is_red,eliminiate,authors department/education in case belongs to center,lead author department/training,alex comments,
stephens b,2008,Standard intervention,illinois rape myth acceptance scale - short form,0,Rape Prevention with Asian/Pacific Islander and Caucasian College Men: The Roles of Culture and Risk Status,Roni,0,lab,NOMORE - the men's program standard intervention (Foubert 2000),4,1,3,3,19.4,1,100,0,USA,WA,192,2,1,"A 50-minute video presentation, made up of 4 parts (mini-presentations from other investigators and a preamble filmed by investigator), followed by a ""cognitive dissonance"" writing intervention in which men were asked to convince a man named John not to rape women by writing out the reasons. In the cultural video, the preamble was filmed by a non-white as well as a white man, and culturally sensitive language was used to appeal to Asian / Pacific Islander men (vs. the standard video which did not use this language and was filmed with only white men)",4,1,50 minutes,0,"4,6,8",NA,"4,6,8",male,20,NA,NA,rct,FALSE,attitudes,-,3,64,38,64,48,-,-,-,d.i.m,0.3800,1,0.8700,page72table3,NA,,,,Roni,,Loading...,,,,,
stephens b,2008,Standard intervention ,illinois rape myth acceptance scale - short form,44.8,Rape Prevention with Asian/Pacific Islander and Caucasian College Men: The Roles of Culture and Risk Status,Roni,0,lab,NOMORE - the men's program standard intervention (Foubert 2000),4,1,3,3,19.4,1,100,0,USA,WA,192,2,1,"A 50-minute video presentation, made up of 4 parts (mini-presentations from other investigators and a preamble filmed by investigator), followed by a ""cognitive dissonance"" writing intervention in which men were asked to convince a man named John not to rape women by writing out the reasons. In the cultural video, the preamble was filmed by a non-white as well as a white man, and culturally sensitive language was used to appeal to Asian / Pacific Islander men (vs. the standard video which did not use this language and was filmed with only white men)",4,1,50 minutes,0,"4,6,8",NA,"4,6,8",male,20,NA,NA,rct,FALSE,attitudes,-,3,64,28,64,31,-,-,-,d.i.m,0.4800,1,0.8700,page73table4,NA,,,,Roni,,Loading...,,,,,
stephens b,2008,Standard intervention ,M-SES (perpetration),44.8,Rape Prevention with Asian/Pacific Islander and Caucasian College Men: The Roles of Culture and Risk Status,Roni,0,lab,NOMORE - the men's program standard intervention (Foubert 2000),4,1,3,3,19.4,1,100,0,USA,WA,192,2,1,"A 50-minute video presentation, made up of 4 parts (mini-presentations from other investigators and a preamble filmed by investigator), followed by a ""cognitive dissonance"" writing intervention in which men were asked to convince a man named John not to rape women by writing out the reasons. In the cultural video, the preamble was filmed by a non-white as well as a white man, and culturally sensitive language was used to appeal to Asian / Pacific Islander men (vs. the standard video which did not use this language and was filmed with only white men)",4,1,50 minutes,0,"4,6,8",NA,"4,6,8",male,18,NA,NA,rct,FALSE,behavior,-,3,64,28,64,31,-,-,-,d.i.m,0.1600,1,0.4600,page73table4,NA,,,,Roni,,Loading...,,,,,
cissner,2008,peer educators,gender violence scale,0,Evaluating the Mentors in Violence Prevention Program: Preventing Gender Violence on a College Campus,Arielle,0,field,Mentors in Violence Prevention,5,1,3,3,19.65,"3,4",48,79,USA,New York,509,1,0.5,trained to be leaders of the MVP program. MVP introduced the bystander approach (sometimes referred to as “bystander intervention”) to the sexual assault and relationship abuse prevention fields.,2,2,,0,"1,3,4,5,8,10",NA,"1,3,4,5,8,10",both,16,NA,NA,quasi-experimental,FALSE,attitudes,-,3,,395,,103,20,3,n groups,d.i.m,-0.3300,1,,9,"this was a really hard paper to code. I am using comparison group, but could also have done pre-post",-0.33,0.26,0.60,,"I (SETH) notice that there are behavioral measures here but they are going to be hard to parse -- it's a prepost thing when there's so much else going on, and also, I can't figure out the SDs for the outcomes we've chosen, so i've pinklined the two effect sizes. Personally, when trying to derive sd of the outcome, I think we should draw the line at trying to derive it from a p value *range*. I'm willing to try to calculate a t-test from just a sample size and a p value, but just p < .001? That's extremely uninformative. We could say it's `0.0001 less than whatever is the upper bound of the range` but does that make sense? There's something to the idea",Loading...,1,,,agree,
cissner,2008,workshop,gender violence scale,0,Evaluating the Mentors in Violence Prevention Program: Preventing Gender Violence on a College Campus,Arielle,0,field,Mentors in Violence Prevention,5,1,3,3,19.5,"3,4",53,83,USA,New York,751,1,0.5,participated in MVP program led by peer educators. MVP introduced the bystander approach (sometimes referred to as “bystander intervention”) to the sexual assault and relationship abuse prevention fields.,"2,4,5",2,,0,"1,3,4,5,8,10",NA,"1,3,4,5,8,10",both,16,NA,NA,quasi-experimental,FALSE,attitudes,-,3,,395,,321,20,3,n groups,d.i.m,-0.1600,1,,9,NA,-0.33,0.36,0.60,,"""",Loading...,1,,,agree,
potter,2008,media campaign,knowledge of interventions,0,"Designing, Implementing, and Evaluating a Media Campaign Illustrating the Bystander Role",jh,1,field,-,1,4,3,3,18.6,5,0.49,NA,USA,NA,145,1,1,dorm poster campaign aimed at reducing violence against women,9,14,,0,2,NA,2,both,1,NA,NA,quasi-experimental,FALSE,attitudes,-,2,,64,,81,1,1,cluster randomized,d.i.d,0.3400,1,1.2300,12,NA,0.28,32.30,5.68,,,Loading...,,,,,
jones,2008,keeping kids safe,knowledge,0,How do you stop the boogeyman? An evaluation of a sexual assault prevention program,Roni,1,field,keep kids safe,4,1,1,1,NA,3,42.8,44.2,USA,Rhode Island,1188,4,0.5,"This is a four day program intended to teach the kids about gender stereotypes, bullying, what is sexual abuse, discuss unhealthy and healthy relationships and bystander behavior. description of what each day of the program entails can be found on page 44/88",2,4,,0,"4,2,10",NA,"4,2,10",both,not given,NA,NA,pre-post,FALSE,attitudes,-,1,,362,,362,120.6666667,3,n groups,d.i.m,-1.6500,1,2.1000,47,NA,-0.79,0.46,0.68,,,Loading...,,,,,
moynihan,2008,bystander prevention program,illinois rape myth acceptance scale - short form,0,Community Responsibility for Preventing Sexual Violence: A Pilot Study with Campus Greeks and Intercollegiate Athletes,Arielle,0,field,NA,1,1,3,3,19.9,5,49.60629921,NA,USA,NA,127,1,0,"Previous research has noted higher incidences of sexual violence on campus among members of campus Greeks and athletes and the need to do prevention programs with them. This article presents the results of an exploratory pilot study of a sexual violence prevention program with members of one fraternity, sorority, men’s and women’s intercollegiate athletic team. The program, exper- imentally evaluated and found to be effective with a general sample of undergraduates, was used to determine its efficacy specifically with Greeks and athletes. The model on which the program is based calls for prevention efforts that take a wider community approach rather than simply targeting individuals as potential perpetrators or victims. Results from repeated-measures analysis of variance indicate that the program worked overall. Future directions are discussed.
",NA,NA,,0,"1,2,4",NA,"1,2,4",both,20,NA,NA,pre-post,FALSE,attitudes,greeks / athletes,1,,106,,127,-,-,-,t.test,-0.9600,-1,-,13,NA,-0.13,0.02,0.13,,,Loading...,,,,,
stephens,2009,Standard intervention ,illinois rape myth acceptance scale - short form,0,Rape Prevention with College Men: Evaluating Risk Status,Jennifer,0,lab,The men's program,1,1,3,3,19.3,1,100,100,USA,WA,146,2,1,This intervention looked at the effect of a 50 minute video on perpetration among high and low risk college males. They found that only rape myth acceptance and victim empathy are sustained in the long term. Additionally high risk men were less effected by the intervention than low risk men.,4,1,50 minutes,0,"4,6,8",NA,"4,6,8",male,19,NA,NA,rct,FALSE,attitudes,-,2,73,52,73,51,-,-,-,d.i.m,0.3300,1,0.7900,page1006table2,NA,,,,Roni,,Loading...,,,,,
stephens,2009,Standard intervention,illinois rape myth acceptance scale - short form,49.2,Rape Prevention with College Men: Evaluating Risk Status,Jennifer,0,lab,The men's program,1,1,3,3,19.3,1,100,100,USA,WA,146,2,1,This intervention looked at the effect of a 50 minute video on perpetration among high and low risk college males. They found that only rape myth acceptance and victim empathy are sustained in the long term. Additionally high risk men were less effected by the intervention than low risk men.,4,1,50 minutes,0,"4,6,8",NA,"4,6,8",male,19,NA,NA,rct,FALSE,attitudes,-,2,73,38,73,27,-,-,-,d.i.m,0.4600,1,0.7700,page1006table2,NA,,,,Roni,,Loading...,,,,,
stephens,2009,Standard intervention ,M-SES (perpetration),49.2,Rape Prevention with College Men: Evaluating Risk Status,Jennifer,0,lab,The men's program,1,1,3,3,19.3,1,100,100,USA,WA,146,2,1,This intervention looked at the effect of a 50 minute video on perpetration among high and low risk college males. They found that only rape myth acceptance and victim empathy are sustained in the long term. Additionally high risk men were less effected by the intervention than low risk men.,4,1,50 minutes,0,"4,6,8",NA,"4,6,8",male,18,NA,NA,rct,FALSE,behavior,-,2,73,38,73,27,-,-,-,d.i.m,-0.1400,-1,0.4500,page1006table2,NA,,,,Roni,"SETH: attrition is a threat to inference here "" For those who did drop from the study at posttest, we found more sex-related alcohol expectancies and behavioral intentions to rape in the control group compared to the intervention group (p ≤ .020) and at follow-up, we found more rape myth acceptance and sex-related alcohol expectancies for the control group than for the intervention group (p ≤.036). Therefore, participants who dropped from the study in the control group were more rape supportive than those that dropped from the intervention group.""",Loading...,,,,,
bradley,2009,action to reduce sexual assault on campus (volunteer),rape myth acceptance,14,An Evaluation of a Mixed-Gender Sexual Assault Prevention Program,Yashna,1,field,Mixed-Gender Sexual Assault Prevention Program,1,1,3,3,23.2,3,36.6,NA,USA,West Coast,309,1,1,"Part of the program targeted men (re perpetration) and part of it targeted women (re victimization). The program segments targeting men’s behavior focused primarily on changing sexual assault myths, poor victim empathy, and problematic outcome expectancies. The program also attempted to decrease motivation for engaging in sexually coercive behavior by describing the negative consequences that can occur as a result of engaging in sexually coercive behavior. The program segments targeting women’s behavior attempted to improve women’s reception, perception, and interpretation of rape-related stimuli (e.g., decoding skills) and refine their ability to generate, emit, and evaluate the potential utility of responses that may decrease risk of sexual assault (e.g., decision skills).","1,4",1,,0,"9,6,5,2,3",NA,"9,6,5,2,3",male,11,NA,NA,quasi-experimental,FALSE,attitudes,-,2,,59,,54,not given,not given,cluster randomized,d.i.d,-0.4600,1,9.4900,12,has women too in study but not RMA outcome,-0.05,0.04,0.19,,,Loading...,,,,,
potter,2009,saw posters,action to reduce sexual assault on campus (volunteer),0,Empowering Bystanders to Prevent Campus Violence Against Women,jh,1,field,-,1,7,3,3,not given,3,0.38,0.87,USA,northeast,372,1,1,The four posters portray typical campus scenarios and explicitly model preventive bystander behaviors.,9,28,,0,4,NA,4,both,3,NA,NA,quasi-experimental,FALSE,behavior,-,2,,81,,291,-,-,-,d.i.m,-1.5300,1,2.9400,114,NA,-0.52,0.02,0.13,,,Loading...,,,,,
potter,2009,saw posters,precontemplation,0,Empowering Bystanders to Prevent Campus Violence Against Women,jh,1,field,-,1,7,3,3,not given,3,0.38,0.87,USA,northeast,372,1,1,The four posters portray typical campus scenarios and explicitly model preventive bystander behaviors.,9,28,,0,4,NA,4,both,3,NA,NA,quasi-experimental,FALSE,attitudes,-,2,,81,,291,-,-,-,d.i.m,-0.3300,1,2.4000,114,NA,-0.14,0.02,0.13,,,Loading...,,,,,
degannes,2009,project awareness,rape myth attitude scale,0,Evaluation of a sexual assault and dating violence prevention program for middle school students,Matej,1,field,Project Awareness,4,1,1,1,13.46,5,47.3,43.9,USA,NA,57,1,NA,"Each cycle of Project Awareness took place over an 8-week period. Each individual school was targeted for a session one day per week and the sessions were held during the period designated for health class. Program facilitators/educators were certified rape crisis counselors and completed a 40-hour training to receive certification. Lessons were taught using various instructional methods, including lecture with discussion, role playing, cooperative group lessons and multimedia education. The multimedia component of the program utilized several videos targeted to young audiences. For example, the “You’re In Control” video, created by the local rape crisis center and starring real survivors or sexual assault, aimed to educate adolescents by incorporating true stories from other adolescents from their geographical area.","1,2,3,4,5",8,,0,"1,2,3,11",1,"1,2,3,11",both,19,NA,NA,pre-post,FALSE,attitudes,-,1,,57,,29,-,-,-,d.i.m,5.6400,1,15.3200,55,NA,0.37,0.05,0.23,,,Loading...,,,,,
banyard,2009,bringing in the bystander,rape myth acceptance,0,Reducing Sexual Violence on Campus: The Role of Student Leaders as Empowered Bystanders,jh,0,lab,Bringing in the Bystander,1,4,3,3,20,3,0.5969387755,0.96,USA,new england,196,4,1,90-minute bringing in the bystander program,5,0,,0,5,NA,5,both,20,NA,NA,pre-post,FALSE,attitudes,-,1,,193,,193,-,-,-,d.i.m,0.1800,1,0.4400,452,NA,0.41,0.01,0.11,,,Loading...,,,,,
Hatcher,2009,immediate intervention,rape myth acceptance,0,An Evaluation of a Sexual Assault Education Program,JH,0,lab,NA,4,2,3,3,19.35,1,100,77.55,USA,Michigan,49,1,1,"video-based sexual assualt education program that contains three components: rape myths, victim empathy, and outcome expectancies",4,1,45 minutes,0,"1,2,6,9",?,"1,2,6,9",male,19,TRUE,,pre-post,TRUE,attitudes,-,2,,45,,45,-,-,-,t.test,-6.7800,1,-,28,,,,,,,Loading...,,,,,
Hatcher,2009,immediate intervention,rape myth acceptance,2 weeks,An Evaluation of a Sexual Assault Education Program,JH,0,lab,NA,4,2,3,3,19.35,1,100,77.55,USA,Michigan,49,1,1,"video-based sexual assualt education program that contains three components: rape myths, victim empathy, and outcome expectancies",4,1,45 minutes,0,"1,2,6,9",?,"1,2,6,9",male,19,TRUE,,pre-post,TRUE,attitudes,-,2,,45,,39,-,-,-,d.i.m,-7.8400,1,15.8800,28/29,,,,,,,Loading...,,,,,
Wolfe,2009,Fourth R: Skills for Youth Relationships,physical dating violence (perpetration),2.5 years,A School-Based Program to Prevent Adolescent Dating Violence,JH,1,field,,1,,2,2,,4,,,Canada,,,,,,,,,,,,,both,8,TRUE,,rct,TRUE,behavior,,2,916,754,927,968,10,10,cluster randomized,d_i_p,-0.0240,1,0.2973,696,,,,,,,Loading...,,,,,
Roberts,2009,Expect Respect: Preventing Teen Dating Violence,atitudes toward dating violence,3 weeks,An Evaluation of the Expect Respect: Preventing Teen Dating Violence High School Program,JH,1,field,,4,,2,2,,5,,,USA,,,,,,,,,,,,,both,28,TRUE,,rct,TRUE,attitudes,-,2,165,136,167,136,12,12,cluster randomized,f.test,6.9250,1,-,88,,,,,,,Loading...,,,,,
Earle,2009,Treatment 1,,,Acquaintance Rape Workshops: Their Effectiveness in Changing the Attitudes of First Year College Men,JH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loading...,1,,,,
Earle,2009,Treatment 2,,,Acquaintance Rape Workshops: Their Effectiveness in Changing the Attitudes of First Year College Men,JH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loading...,1,,,,
Earle,2009,Treatment 3,,,Acquaintance Rape Workshops: Their Effectiveness in Changing the Attitudes of First Year College Men,JH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loading...,1,,,,
Clinton-Sherrod,2009,Safe Place,,,Factors Contributing to the Effectiveness of Four School-Based Sexual Violence Interventions,JH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loading...,1,,,,
Clinton-Sherrod,2009,MOST,,,Factors Contributing to the Effectiveness of Four School-Based Sexual Violence Interventions,JH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loading...,1,,,,
Clinton-Sherrod,2009,SURGE,,,Factors Contributing to the Effectiveness of Four School-Based Sexual Violence Interventions,JH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loading...,1,,,,
Clinton-Sherrod,2009,MOCSA,,,Factors Contributing to the Effectiveness of Four School-Based Sexual Violence Interventions,JH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loading...,1,,,,
Yanagida-Ishii,2009,treatment,,,"Program Content in a Men-Only Sexual Assault Prevention Program: The Relationship Between Factual Knowledge, Familiarity with Victim, and Self-Reported Behavior",JH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loading...,1,,,,
Weist,2009,initiative and comparison,,,Evaluation of a Statewide Initiative in the United States to Prevent/Reduce Sexual Harassment in Schools,JH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loading...,1,,,,
jordan,2010,playing the game 2 film + peer-led discussion,CDRABS - attitudes towards rape,35,Examining the effects of two sexual assault/date rape interventions in a population of college freshmen,Paloma,1,field,NA,4,1,3,3,18.08,3,55.80%,72.20%,USA,Maryland,378,1,0.5,"The intervention consisted in showing the Playing the Game 2 film (12 minutes). The video was filmed at the University of Maryland, College Park and presented a typical college acquaintance rape scenario. The film came with a discussion guide that peer educators will use as the basis for their discussion with the freshmen students randomized to this study condition.","4, 2",1,~60 minutes,0,"1,5,3",NA,"1,5,3",both,20,NA,NA,rct,FALSE,attitudes,-,3,130,119,121,115,9,9,cluster randomized,d.i.d,2.1000,1,8.9500,65 - 69,NA,,,,Roni,,Loading...,,public health,,,
jordan,2010,sarpp peer educator program,CDRABS - attitudes towards rape,35,Examining the effects of two sexual assault/date rape interventions in a population of college freshmen,Paloma,1,field,NA,4,1,3,3,18.08,3,55.80%,72.20%,USA,Maryland,378,1,0.5,"The SARPP consists of a co-educational workshop led by small groups of male and female presenters. The SARPP presentation provides a discussion of rape, consent,coercion, prevention strategies for males and females, a narrative of a University of Maryland student’s date rape/sexual assault experience, and how to handle yourself if a friend comes to you that has been sexually victimized.",2,1,~60 minutes,0,"1,5,3",NA,"1,5,3",both,20,NA,NA,rct,FALSE,attitudes,-,3,130,119,127,122,9,9,cluster randomized,d.i.d,1.8000,1,8.9500,65 - 69,NA,,,,Roni,,Loading...,,,,,
moynihan,2010,bringing in the bystander,illinois rape myth acceptance scale,0,Engaging Intercollegiate Athletes in Preventing and Intervening in Sexual and Intimate Partner Violence,Matej,0,lab,Bringing in the Bystander,1,1,3,3,19.38316547,4,56.8,NA,USA,NA,139,1,NA,"Two professional educators, a man and woman, with experience
presenting the program, cofacilitated the Bringing in the Bystander program to single-sex groups of athletes. To accommodate the athletes’ schedules, the facilitators presented the 4.5-hour version of the program in a 1-day session on a weekend day (with breaks for lunch and snacks). The program consisted of 3 sections: (1) introducing the bystander model, (2) applying bystander concepts to sexual and intimate partner violence, and (3) developing skills as a bystander. For a description of the program, see Banyard et al.5 There are clearly limits of a 1-time program. However, recent research results indicate that 1-time programs with
a bystander focus may have positive impacts on attitudes and behaviors.5,33 Further, the practical reality on campuses is that many prevention programs are only offered in this format. Thus, further research seemed warranted.","2,4,5",1,270 minutes,0,"1,2,4",1,"1,2,4",both,17,NA,NA,rct,FALSE,attitudes,athletes,2,86,62,53,36,-,-,-,d.i.d,-2.5100,1,7.1300,page 202 table 1,NA,,,,Roni,,Loading...,,women and gender studies,,,
moynihan,2010,bringing in the bystander,illinois rape myth acceptance scale,61,Engaging Intercollegiate Athletes in Preventing and Intervening in Sexual and Intimate Partner Violence,Matej,0,lab,Bringing in the Bystander,1,1,3,3,19.38316547,4,56.8,NA,USA,NA,139,1,NA,"Two professional educators, a man and woman, with experience
presenting the program, cofacilitated the Bringing in the Bystander program to single-sex groups of athletes. To accommodate the athletes’ schedules, the facilitators presented the 4.5-hour version of the program in a 1-day session on a weekend day (with breaks for lunch and snacks). The program consisted of 3 sections: (1) introducing the bystander model, (2) applying bystander concepts to sexual and intimate partner violence, and (3) developing skills as a bystander. For a description of the program, see Banyard et al.5 There are clearly limits of a 1-time program. However, recent research results indicate that 1-time programs with
a bystander focus may have positive impacts on attitudes and behaviors.5,33 Further, the practical reality on campuses is that many prevention programs are only offered in this format. Thus, further research seemed warranted.","2,4,5",1,270 minutes,0,"1,2,4",1,"1,2,4",both,17,NA,NA,rct,FALSE,attitudes,athletes,2,86,62,53,36,-,-,-,d.i.d,-1.9500,1,7.1300,page 202 table 1,NA,,,,Roni,,Loading...,,,,,
moynihan,2010,bringing in the bystander,bystander behavior scale,61,Engaging Intercollegiate Athletes in Preventing and Intervening in Sexual and Intimate Partner Violence,Matej,0,lab,Bringing in the Bystander,1,1,3,3,19.38316547,4,56.8,NA,USA,NA,139,1,NA,"Two professional educators, a man and woman, with experience
presenting the program, cofacilitated the Bringing in the Bystander program to single-sex groups of athletes. To accommodate the athletes’ schedules, the facilitators presented the 4.5-hour version of the program in a 1-day session on a weekend day (with breaks for lunch and snacks). The program consisted of 3 sections: (1) introducing the bystander model, (2) applying bystander concepts to sexual and intimate partner violence, and (3) developing skills as a bystander. For a description of the program, see Banyard et al.5 There are clearly limits of a 1-time program. However, recent research results indicate that 1-time programs with
a bystander focus may have positive impacts on attitudes and behaviors.5,33 Further, the practical reality on campuses is that many prevention programs are only offered in this format. Thus, further research seemed warranted.","2,4,5",1,270 minutes,0,"1,2,4",1,"1,2,4",both,26,NA,NA,rct,FALSE,behavior,athletes,2,86,62,53,36,-,-,-,d.i.d,1.1200,1,5.5500,page 202 table 1,NA,,,,Roni,,Loading...,,,,,
taylor,2010,Interaction based curriculum,attitudes toward GV/SH,0,The effects of gender violence/harassment prevention programming in middle schools: A randomized experimental evaluation,Roni,1,field,shifting Boundaries,1,1,1,1,12,3,48%,52.00%,USA,Ohio,1639,2,1,focuses on setting and communicating bourdaries in relationships. Full description can be found in the 2008 report they reference to. ,"2,5",5,200 minutes,0,"5,2,10,4",1,"5,2,10,4",both,4,NA,NA,rct,FALSE,attitudes,-,3,819.5,819.5,409.75,409.75,29,65,cluster randomized,beta,-0.0460,-1,2.3474,page221tableA1,for a full report on results see: https://www.ncjrs.gov/pdffiles1/nij/grants/221892.pdf,,,,jh,,Loading...,,criminology & public health,,,
taylor,2010,law and justice curriculum,attitudes toward GV/SH,0,The effects of gender violence/harassment prevention programming in middle schools: A randomized experimental evaluation,Roni,1,field,Shifting Boundaries,1,1,1,1,12,3,48%,52.00%,USA,Ohio,1639,2,1,"focuses on laws, definition, information, and data about penalties for sexual assault and sexual harrassment. full materials can be found in the 2008 report they reference to. ","2,5",5,200 minutes,0,"5,2,10,4",1,"5,2,10,4",both,4,NA,NA,rct,FALSE,attitudes,-,3,819.5,819.5,409.75,409.75,29,65,cluster randomized,beta,0.2850,1,2.6909,page221tableA1,for a full report on results see: https://www.ncjrs.gov/pdffiles1/nij/grants/221892.pdf,,,,jh,,Loading...,,,,,
taylor,2010,Interaction based curriculum,attitudes toward GV/SH,180,The effects of gender violence/harassment prevention programming in middle schools: A randomized experimental evaluation,Roni,1,field,shifting Boundaries,1,1,1,1,12,3,48%,52.00%,USA,Ohio,1639,2,1,focuses on setting and communicating bourdaries in relationships. Full description can be found in the 2008 report they reference to. ,"2,5",5,200 minutes,0,"5,2,10,4",1,"5,2,10,4",both,4,NA,NA,rct,FALSE,attitudes,-,3,819.5,819.5,409.75,409.75,29,65,cluster randomized,beta,-0.1040,-1,1.4886,page223tableA2,for a full report on results see: https://www.ncjrs.gov/pdffiles1/nij/grants/221892.pdf,,,,jh,,Loading...,,,,,
taylor,2010,law and justice curriculum,attitudes toward GV/SH,180,The effects of gender violence/harassment prevention programming in middle schools: A randomized experimental evaluation,Roni,1,field,Shifting Boundaries,1,1,1,1,12,3,48%,52.00%,USA,Ohio,1639,2,1,"focuses on laws, definition, information, and data about penalties for sexual assault and sexual harrassment. full materials can be found in the 2008 report they reference to. ","2,5",5,200 minutes,0,"5,2,10,4",1,"5,2,10,4",both,4,NA,NA,rct,FALSE,attitudes,-,3,819.5,819.5,409.75,409.75,29,65,cluster randomized,beta,-0.0280,-1,1.6317,page223tableA2,for a full report on results see: https://www.ncjrs.gov/pdffiles1/nij/grants/221892.pdf,,,,jh,,Loading...,,,,,
taylor,2010,Interaction based curriculum,overall sexual violence victimization - frequency (q7),180,The effects of gender violence/harassment prevention programming in middle schools: A randomized experimental evaluation,Roni,1,field,shifting Boundaries,1,1,1,1,12,3,48%,52.00%,USA,Ohio,1639,2,1,focuses on setting and communicating bourdaries in relationships. Full description can be found in the 2008 report they reference to. ,"2,5",5,200 minutes,0,"5,2,10,4",1,"5,2,10,4",both,14,NA,NA,rct,FALSE,behavior,-,3,819.5,819.5,409.75,409.75,29,65,cluster randomized,t.test,-0.1329,1,-,page223tableA2,for a full report on results see: https://www.ncjrs.gov/pdffiles1/nij/grants/221892.pdf,,,,jh,,Loading...,,,,,
taylor,2010,law and justice curriculum,overall sexual violence victimization - frequency (q7),180,The effects of gender violence/harassment prevention programming in middle schools: A randomized experimental evaluation,Roni,1,field,Shifting Boundaries,1,1,1,1,12,3,48%,52.00%,USA,Ohio,1639,2,1,"focuses on laws, definition, information, and data about penalties for sexual assault and sexual harrassment. full materials can be found in the 2008 report they reference to. ","2,5",5,200 minutes,0,"5,2,10,4",1,"5,2,10,4",both,14,NA,NA,rct,FALSE,behavior,-,3,819.5,819.5,409.75,409.75,29,65,cluster randomized,t.test,-0.2398,1,-,page223tableA2,for a full report on results see: https://www.ncjrs.gov/pdffiles1/nij/grants/221892.pdf,,,,jh,,Loading...,,,,,
taylor,2010,Interaction based curriculum,overall sexual violence perpetration - frequency (q6),180,The effects of gender violence/harassment prevention programming in middle schools: A randomized experimental evaluation,Roni,1,field,shifting Boundaries,1,1,1,1,12,3,48%,52.00%,USA,Ohio,1639,2,1,focuses on setting and communicating bourdaries in relationships. Full description can be found in the 2008 report they reference to. ,"2,5",5,200 minutes,0,"5,2,10,4",1,"5,2,10,4",both,14,NA,NA,rct,FALSE,behavior,-,3,819.5,819.5,409.75,409.75,29,65,cluster randomized,t.test,0.6667,-1,-,page223tableA2,for a full report on results see: https://www.ncjrs.gov/pdffiles1/nij/grants/221892.pdf,,,,jh,,Loading...,,,,,
taylor,2010,law and justice curriculum,overall sexual violence perpetration - frequency (q6),180,The effects of gender violence/harassment prevention programming in middle schools: A randomized experimental evaluation,Roni,1,field,Shifting Boundaries,1,1,1,1,12,3,48%,52.00%,USA,Ohio,1639,2,1,"focuses on laws, definition, information, and data about penalties for sexual assault and sexual harrassment. full materials can be found in the 2008 report they reference to. ","2,5",5,200 minutes,0,"5,2,10,4",1,"5,2,10,4",both,14,NA,NA,rct,FALSE,behavior,-,3,819.5,819.5,409.75,409.75,29,65,cluster randomized,t.test,2.1000,-1,-,page223tableA2,for a full report on results see: https://www.ncjrs.gov/pdffiles1/nij/grants/221892.pdf,,,,jh,,Loading...,,,,,
hillenbrand-gunn,2010,men as allies,illinois rape myth acceptance scale - short form,0,Men as Allies: The Efficacy of a High School Rape Prevention Intervention,Arielle,1,field,NA,1,1,2,2,16.58,5,60.36792453,83,USA,NA,283,1,0.5,3-time in-class presentation based on Men as Allies philosphy,"1,2,4,6",3,,0,"1,3,5,9,10",NA,"1,3,5,9,10",both,20,NA,NA,quasi-experimental,FALSE,attitudes,-,2,,88,,124,7,5,cluster randomized,d.i.d,-3.9667,1,8.7700,5,NA,-0.45,0.30,0.55,,,Loading...,,,,,
hillenbrand-gunn,2010,men as allies,illinois rape myth acceptance scale - short form,28,Men as Allies: The Efficacy of a High School Rape Prevention Intervention,Arielle,1,field,NA,1,1,2,2,16.58,5,60.36792453,83,USA,NA,283,1,0.5,3-time in-class presentation based on Men as Allies philosphy,"1,2,4,6",3,,0,"1,3,5,9,10",NA,"1,3,5,9,10",both,20,NA,NA,quasi-experimental,FALSE,attitudes,-,2,,88,,124,7,5,cluster randomized,d.i.d,-4.5120,1,8.7700,5,NA,-0.51,0.30,0.55,,,Loading...,,,,,
