author,year,coder,intervention name,title,publication type,origin,program name,number of participant,mean age,participant sex,% of male,stage in life,setting,% dominant racial or ethnic group,country,state,lab or field,type of control,intrevention description,brief description of the intervention,delivery of treatment,intervention length,additional contact,states purpose of the intervention,_file,stated purpose of the intervention,number of participants,intervention description,states purpose of the intervention...26,stated_purpose
Asgharzadeh,2013,Matej,moral ideals condition video,Morality Framing and Sexual Harassment Training Effectiveness,4,2,NA,NA,19.72,5,54.8,3,3,39.21,USA,NA,1,2,NA,"Following the introduction from the experimenter (and the pre-test if in that condition),
participants watched one of two sexual harassment training videos. Half of the participants
were randomly assigned to view the sexual harassment training video that was focused on
moral ideals and half of the participants were randomly assigned to view the sexual
harassment training video that was focused on moral obligation.
Although information in both conditions were equivalent in length, statements were
altered on the slides that induced either a moral ideals perspective that focused on positive
outcomes or a moral obligation perspective that focused on negative outcomes. For example,
both conditions discussed the outcomes of sexual harassment. In the moral ideals condition,
the slide stated, “If sexual harassment can be avoided, the consequences are positive physical
and emotional health, high work performance, and a respected reputation.” On the other
hand, in the moral obligation condition, the slide stated, “If sexual harassment does occur, the
consequences are negative physical and emotional health, low work performance, and a
disrespected reputation.” Therefore the messages in both conditions were the same, but the
way in which the message is framed differed across conditions.
Both videos were about 30 minutes in length and developed using the software
PowerPoint. Narrating audio for the videos utilized both male and female voices equally to
decrease the chances of trainer gender effects from occurring. Each participant was assigned
computer in the lab room so that they were able to watch the video individually with
headphones. Once the video was finished, all participants were instructed to complete a
survey online.","1,2,5",4,0,NA,3,"1,10",127,1,NA,"1,10"
Barron,2013,Matej,Grade 6 18U,"Exploratory Evaluation of a School-Based Child
Sexual Abuse Prevention Program",1,2,Tweenees,NA,11.81,5,69.1,1,1,NA,USA,NA,1,1,NA,"The Tweenees program (Matthew & Laurie, 2002) has two main aims: to
enable students to be aware of potentially abusive situations and to disclose
CSA and other abuses. Program objectives include increasing student identification
of safe and risky people and situations as well as who to disclose
to. The program developed from survivor experience with no theoretical
base. Program content includes a series of discussion topics, such as bullying,
physical and sexual assault/abuse, domestic violence, gender issues,
and power in society. The main activities are movement and debate to topics
presented as provocative statements; for example, “It is okay to hit a woman”
for the topic of domestic violence. Students move to either side of the class
(or the middle) to signify agreement, disagreement, or uncertainty. Students
give their reasons and the presenter summarizes. The fourth lesson uses
the board game Truth Dare Scare. Students roll a dice and answer personal
safety questions—either telling the truth, sharing what scares them, or taking
a dare (e.g., a silly dance). Lessons are 50 minutes long. Presenters receive a
1-hour training delivered by the program author. Training includes program
aims/objectives, content, delivery style, confidentiality limits, and response
to disclosure.","1,2,5",4,0,NA,3,"2,3,11",127,0.5,NA,"2,3,11"
Barron,2013,Matej,Grade 6 Teacher,"Exploratory Evaluation of a School-Based Child
Sexual Abuse Prevention Program",1,2,Tweenees,NA,11.56,5,62.5,1,1,NA,USA,NA,1,1,NA,"The Tweenees program (Matthew & Laurie, 2002) has two main aims: to
enable students to be aware of potentially abusive situations and to disclose
CSA and other abuses. Program objectives include increasing student identification
of safe and risky people and situations as well as who to disclose
to. The program developed from survivor experience with no theoretical
base. Program content includes a series of discussion topics, such as bullying,
physical and sexual assault/abuse, domestic violence, gender issues,
and power in society. The main activities are movement and debate to topics
presented as provocative statements; for example, “It is okay to hit a woman”
for the topic of domestic violence. Students move to either side of the class
(or the middle) to signify agreement, disagreement, or uncertainty. Students
give their reasons and the presenter summarizes. The fourth lesson uses
the board game Truth Dare Scare. Students roll a dice and answer personal
safety questions—either telling the truth, sharing what scares them, or taking
a dare (e.g., a silly dance). Lessons are 50 minutes long. Presenters receive a
1-hour training delivered by the program author. Training includes program
aims/objectives, content, delivery style, confidentiality limits, and response
to disclosure.","1,2,5",4,0,NA,3,"2,3,11",79,0.5,NA,"2,3,11"
Barron,2013,Matej,Grade 7/8 Intervention,"Exploratory Evaluation of a School-Based Child
Sexual Abuse Prevention Program",1,2,Tweenees,NA,12.56,5,56.2,1,1,94,USA,NA,1,1,NA,"The Tweenees program (Matthew & Laurie, 2002) has two main aims: to
enable students to be aware of potentially abusive situations and to disclose
CSA and other abuses. Program objectives include increasing student identification
of safe and risky people and situations as well as who to disclose
to. The program developed from survivor experience with no theoretical
base. Program content includes a series of discussion topics, such as bullying,
physical and sexual assault/abuse, domestic violence, gender issues,
and power in society. The main activities are movement and debate to topics
presented as provocative statements; for example, “It is okay to hit a woman”
for the topic of domestic violence. Students move to either side of the class
(or the middle) to signify agreement, disagreement, or uncertainty. Students
give their reasons and the presenter summarizes. The fourth lesson uses
the board game Truth Dare Scare. Students roll a dice and answer personal
safety questions—either telling the truth, sharing what scares them, or taking
a dare (e.g., a silly dance). Lessons are 50 minutes long. Presenters receive a
1-hour training delivered by the program author. Training includes program
aims/objectives, content, delivery style, confidentiality limits, and response
to disclosure.","1,2,5",1,0,NA,3,"2,3,11",233,0.5,NA,"2,3,11"
Belknap,2013,Matej,Theater Intervention,"A Theater Intervention to Prevent Teen Dating Violence for Mexican-American
Middle School Students",1,2,NA,NA,13.4,5,39,1,1,100,USA,NA,0,4,NA,"A group of four undergraduate actors and a professional theater director delivers two plays ""Homeroom"" and ""Lily and Jake"" at three different middle schools to Latino audience of app. 20 students. The two plays depict different versions of abusive relationships, the risks of sexual violence and ways that women can defend themselves. Pre and post data were collected from the students in audience to assess the impact of the play on their attitudes towards teen dating violence (TDV).",3,1,0,NA,3,"1,3,5,6",66,NA,NA,"1,3,5,6"
Buck,2013,Matej,Social Norm Vignette,"College Men’s Perception of the Risks and Benefits of Intervening Against
Sexual Assault and the Influence of Social Norms and Masculine Ideology",4,2,NA,NA,21.33,1,100,3,3,71.8,USA,NA,0,1,NA,Participants randomly assigned to this condition were presented with a vignette containing a direct social norm statement regarding campus sexual assault through an online survey form. Then they were asked to answer a question on the Risks/Benefit scale relevant to the vignette they just read.,7,1,0,NA,3,"1,4,10",108,1,NA,"1,4,10"
Buck,2013,Matej,Embedded Statement Vignette,"College Men’s Perception of the Risks and Benefits of Intervening Against
Sexual Assault and the Influence of Social Norms and Masculine Ideology",4,2,NA,NA,21.33,1,100,3,3,71.8,USA,NA,0,1,NA,Participants randomly assigned to this condition were presented with a vignette containing an embedded social norm allusion regarding campus sexual assault through an online survey form. Then they were asked to answer a question on the Risks/Benefit scale relevant to the vignette they just read.,7,1,0,NA,3,"1,4,10",101,1,NA,"1,4,10"
Buck,2013,Matej,Vignette that includes both a direct statement of social norm as well as an embedded allusion to a socila norm,"College Men’s Perception of the Risks and Benefits of Intervening Against
Sexual Assault and the Influence of Social Norms and Masculine Ideology",4,2,NA,NA,21.33,1,100,3,3,71.8,USA,NA,0,1,NA,Participants randomly assigned to this condition were presented with a vignette containing both a direct social norm statement and an embedded social norm allusion regarding campus sexual assault through an online survey form. Then they were asked to answer a question on the Risks/Benefit scale relevant to the vignette they just read.,7,1,0,NA,3,"1,4,10",98,1,NA,"1,4,10"
Campbell,2013,Matej,Workplace-based sexual harassment prevention workshop,Effects of a Brief Pilot Sexual Harassment Prevention Workshop on Employees' Knowledge,1,2,MARCOM Preventing Sexual Harassment for Employees,NA,NA,5,42.5,4,4,NA,USA,MO,0,1,NA,"The workshop format followed MARCOM’s standardized curriculum (i.e., definition of harassment, identification/risk reduction, misconceptions, and prevention). The instructor
team used lectures, discussions, questions and answers, supplemental handouts, participant booklets, and an interactive slide show that followed standardized content. The instructor team, using adult learning strategies that encouraged interaction and using job-related scenarios as examples,specifically defined what constitutes sexual harassment, described behaviors to avoid, explained how to handle a sexual harassment incident, and noted how to report sexual harassment. Additional questions were answered at the completion of the workshop and participants were thanked for their attendance.","1,2,6",1,0,NA,3,"2,4,7",80,1,NA,"2,4,7"
Elias-Lambert,2013,Matej,NA,Bystander Sexual Violence Prevention Program: Implementation and Evaluation With High-Risk University Males,4,2,Bringing in the Bystander (BITB),NA,21,1,100,3,3,47.9,USA,TX,0,2,NA,"BITB program content covers basic information about prevalence, causes, and consequences of sexual violence. It also includes discussions of how community members can play important prevention roles as bystanders observing risky situations before and during acts of sexual violence (e.g., observing a very intoxicated person being lead into a bedroom at a party by a group of people) and afterward if approached by a friend who discloses that they have been a victim. Active learning exercises, such as role playing, are used to help participants think about how they might intervene safely and be a supportive ally to survivors. Particular emphasis is placed on participants’ own safety and on using resources such as campus police and rape crisis center resources.
Participants are also asked to generate a “bystander plan” and to sign a pledge (both of which they are asked to keep) that they would be active, prosocial bystanders in the community. During the program, participants are introduced to the notion of bystander responsibility, examine issues relating to sense of community membership, and are asked to draw upon their own experiences. Students also increase their awareness of sexual violence and are given an opportunity to apply bystander responsibility to sexual violence. Finally, the program is designed to increase awareness among participants about the importance of personal safety, resources available to aid them during intervention, and understanding the decision-making process behind successful bystander intervention. Students are also given information about campus resources, and facilitators serve as role models for expected behaviors
","1,2,5",1,0,NA,3,"1,2,4,5,9",142,1,NA,"1,2,4,5,9"
Espelage,2013,Matej,Intervention,"The Impact of a Middle School Program to Reduce Aggression, Victimization,
and Sexual Violence",1,2,Second Step: Student Success Through Prevention (SS-SSTP),NA,11.24,5,51.9,1,1,33.1,USA,"IL, KS",1,1,NA,"Student Success Through Prevention program is a universal curricular classroom intervention. Six-grade lessons were delivered by trained teachers in one 50-minute or two 25-minute classroom sessions, taught weekly or semiweekly throughout the school year. Students participated in the program from September 2010 to May 2011. The sixth-grade curriculum includes content related to bullying, problem-solving skills, emotion management, and empathy. Lessons are highly interactive, incorporating small group discussions and activities, dyadic exercises, whole-class instruction, and individual work.
Lessons are structured and supported through an accompanying DVD that contains rich media content including topi- focused interviews with students and video demonstrations of skills. A 4-hour training before implementation covers program curriculum, its delivery, and an introduction to child developmental stages related to the skills taught. Lessons are skills-based and students receive cueing and coaching on their performance. Teachers completed online implementation logs after completing each lesson, which assessed the teacher’s perceptions of student engagement and what components of the lesson they completed.
","1,4,5",15,0,NA,3,"2,5,6",3616,1,NA,"2,5,6"
Garman,2013,Matej,Bystander Training,Increasing the Effectiveness of Sexual Harassment Prevention Through Learner Engagement,4,2,NA,NA,22,3,NA,3,3,NA,USA,CA,1,3,NA,"The tabletop exercise was adapted from the materials discussed above and converted from self-running PowerPoint into facilitator led training. Content and language were kept the same; the only design change was in how the scenarios were formatted. To adapt the PowerPoint into a table top format the scenarios were made into breakout group exercises, with an emphasis on group discussion and feedback. For example, one of the scenarios covers Quid Pro Quo sexual harassment. Trainees were asked to form their breakout groups, review the scenario, and then answer group questions such as “Could the Manager’s actions be viewed as sexual harassment” or “Under what circumstances is it okay for a Manager to ask a co-worker out on a date.” After the allotted time for the breakout discussion was up, trainees were asked to present their findings with the rest of the class, the facilitator then led the discussion about how group findings related to the topics discussed in the training.","1,5",1,0,NA,3,4,321,0.5,NA,4
Katz,2013,Matej,Exposure to Poster in Dorm,Spotting the Signs: First-Year College Students' Responses to Bystander-Themed Rape Prevention Posters,1,2,Know Your Power,NA,18.15,5,31,3,3,NA,USA,NA,1,1,NA,"Three residence halls for first-year students were randomly selected at the start of the fall
semester. Two halls were randomly assigned to be experimental halls in which posters
from the Know Your Power campaign were hung on each floor. A total of 24 posters were
hung, 12 in each hall. Three different individual posters involving risk for sexual assault
at a party were hung on randomly selected bulletin boards on each floor, with posters on
the first floor near the main entrance/exit. Posters were not hung in the third (control)
hall. No other posters or educational materials about sexual assault were posted at the
time of the study. Resident assistants monitored the hallways weekly to ensure posters
remained on the bulletin boards and, when necessary, hung replacement posters. The
the posters were hung for 6 weeks.
",6,42,0,NA,3,"3,4,10",95,1,NA,"3,4,10"
Miller,2013,Matej,Intervention,"One-Year Follow-Up of a Coach-Delivered
Dating Violence Prevention Program: A Cluster Randomized Trial",1,2,Coaching Boys Into Men (CBIM),NA,NA,1,100,2,2,34.6,USA,NA,1,1,NA,"The Coaching Boys Into Men (CBIM) program trains
coaches to talk to male athletes about stopping violence
against girls/women. A series of training cards guide
coaches through weekly, 15-minute discussions throughout
the sports season (www.CoachesCorner.org). Lessons
highlight respect, nonviolence, and interrupting abusive
behaviors among peers.",2,NA,0,NA,3,"3,4",1513,0.5,NA,"3,4"
Sinclair,2013,Manna,6 week self defense program treatment and 1 hour sexual violence program,A Self-Defense Program Reduces the Incidence of Sexual Assault in Kenyan Adolescent Girls,1,2,No Means No Self Defense Program,522,16.7,2,0,2,5,NA,Kenya,Korogocho-Kariobangi locations in Nairobi,field,2,1,"The intervention consisted of six 2-hour sessions of the No Means No Worldwide program, held weekly for 6 weeks, followed by 2-hour refresher courses at 3-, 6-, 9-, and 10-month intervals. The intervention was taught by women, ages 20e32 years, selected from the same neighborhood and trained over a 3-month period in the verbal and physical skills described in the No Means No Worldwide curriculum. Applicants were required to pass a rigorous examination consisting of a written test, oral examination, and physical skills demonstration before becoming paid employees teaching the No Means No Worldwide curriculum at intervention sites.","1,9",6,1,"2,11",1,NA,NA,NA,NA,"2,11"
Taylor,2013,Manna,Classroom Intervention,Shifting Boundaries: An Experimental Evaluation of a Dating Violence Prevention Program in Middle Schools,1,1,Shifting Boundaries,2654,11.7,5,46,1,1,13,USA,New York,field,1,1,"The classroom intervention included a six-session curriculum emphasizing the laws and consequences for perpetrators of dating violence and sexual harassment (DV/H), the social construction of gender roles, and healthy relationships.","1,2,5",6,0,"1,2,4,5,",1,NA,NA,NA,NA,"1,2,4,5,"
Taylor,2013,Manna,Building Intervention,Shifting Boundaries: An Experimental Evaluation of a Dating Violence Prevention Program in Middle Schools,1,1,Shifting Boundaries,2654,11.7,5,46,1,1,13,USA,New York,field,1,1,"The building-based intervention included the use of building-based restraining orders, higher levels of faculty/security presence in safe/unsafe “hot spots” mapped by students, and posters to increase DV/H awareness and reporting","5,6",6,0,"1,2,4,5,7",1,NA,NA,NA,NA,"1,2,4,5,7"
Taylor,2013,Manna,Combined,Shifting Boundaries: An Experimental Evaluation of a Dating Violence Prevention Program in Middle Schools,1,1,Shifting Boundaries,2654,11.7,5,NA,1,1,13,USA,New York,field,1,1,"The classroom intervention included a six-session curriculum emphasizing the laws and consequences for perpetrators of dating violence and sexual harassment (DV/H), the social construction of gender roles, and healthy relationships. The building-based intervention included the use of building-based restraining orders, higher levels of faculty/security presence in safe/unsafe “hot spots” mapped by students, and posters to increase DV/H awareness and reporting",1,6,0,"1,2,4,5,7",1,NA,NA,NA,NA,"1,2,4,5,7"
Taylor,2013,Yashna,Classroom-based intervention,Shifting Boundaries: An Experimental Evaluation of a Dating Violence Prevention Program in Middle Schools,1,1,Shifting Boundaries,2655,11.8,5,55.5,1,1,12.6,USA,NY,1,1,1,"6-10 week program, with 6 sessions focused on emphasizing the laws and consequences for perpetrators of dating violence and sexual harassment (DV/H), the social construction of gender roles, and healthy relationships.","1,2&4",6,0,NA,2,"1,2,3,4&5",NA,NA,NA,"1,2,3,4&5"
Taylor,2013,Yashna,Building-based intervention,Shifting Boundaries: An Experimental Evaluation of a Dating Violence Prevention Program in Middle Schools,1,1,Shifting Boundaries,2655,11.7,5,50.7,1,1,7.3,USA,NY,1,1,1,"6-10 week program, with 6 sessions focused on the use of building-based restraining orders, higher levels of faculty/security presence in safe/unsafe “hot spots” mapped by students, and posters to increase DV/H awareness and reporting.",5&6,6,0,NA,2,"1,2,3,4&5",NA,NA,NA,"1,2,3,4&5"
Taylor,2013,Yashna,Combined building and classroom intervention,Shifting Boundaries: An Experimental Evaluation of a Dating Violence Prevention Program in Middle Schools,1,1,Shifting Boundaries,2655,11.8,5,54.7,1,1,13.4,USA,NY,1,1,1,"6-10 week program, with 6 sessions focused on 1) emphasizing the laws and consequences for perpetrators of dating violence and sexual harassment (DV/H), the social construction of gender roles, and healthy relationships. and 2) the use of building-based restraining orders, higher levels of faculty/security presence in safe/unsafe “hot spots” mapped by students, and posters to increase DV/H awareness and reporting.","1,2,4,5&6",6,0,NA,2,"1,2,3,4&5",NA,NA,NA,"1,2,3,4&5"
Taylor,2013,Matej,Classroom-Based Intervention,Shifting Boundaries: An Experimental Evaluation of a Dating Violence Prevention Program in Middle Schools,1,1,Shifting Boundaries,NA,11.7,5,55.5,1,1,26.4,USA,New York,1,1,NA,"Classroom-based lectures delivered by trained school personnel emphasizing the consequences for perpetrators of DV/H, state and federal laws related to DV/H, the setting and communicating
of one’s boundaries in interpersonal relationships, and the role of bystanders as interveners.","1,2,4,6",6,0,NA,3,"1,2,4,7",2655,1,NA,"1,2,4,7"
Taylor,2013,Matej,Building-Based Intervention,Shifting Boundaries: An Experimental Evaluation of a Dating Violence Prevention Program in Middle Schools,1,1,Shifting Boundaries,NA,11.8,5,"50.7
",1,1,26.4,USA,New York,1,1,NA,"Introduction of school-building wide restraining orders and the placement of posters in school buildings to increase awareness and reporting of DV/H
to school personnel. Identification of unsafe hotspots in school buildings based on the input of students and increased staff patrolling in those areas.","5,6",6,0,NA,3,"1,2,4,7",2655,1,NA,"1,2,4,7"
Taylor,2013,Matej,Combined Intervention,Shifting Boundaries: An Experimental Evaluation of a Dating Violence Prevention Program in Middle Schools,1,1,Shifting Boundaries,NA,11.8,5,"54.7
",1,1,26.4,USA,New York,1,1,NA,"Classroom-based lectures delivered by trained school personnel emphasizing the consequences for perpetrators of DV/H, state and federal laws related to DV/H, the setting and communicating.
Introduction of school-building wide restraining orders and the placement of posters in school buildings to increase awareness and reporting of DV/H
to school personnel. Identification of unsafe hotspots in school buildings based on the input of students and increased staff patrolling in those areas.","1,2,4,5,6","6
",0,NA,3,"1,2,4,7",2655,1,NA,"1,2,4,7"
Taylor,2013,Anne,Building & classroom,Shifting Boundaries: An Experimental Evaluation of a Dating Violence Prevention Program in Middle Schools,1,1,Shifting Boundaries,2654,11.8,5,54.7,1,1,13.4,US,NY,1,1,1,"Over the course of a 6-session curriculum, students learn the consequences for perpetrators of dating violence and sexual harrassment (DV/H), how to communicate boundaries in relationships, and the role of bystanders as interveners. The school also employed ""hot-spot"" mapping and temporary building-based restraining orders, increased staff presence, and put up awareness posters.","1,2,4,5,6",6,0,NA,4,"1,2,4,5,7",NA,NA,NA,"1,2,4,5,7"
Taylor,2013,Anne,Building only,Shifting Boundaries: An Experimental Evaluation of a Dating Violence Prevention Program in Middle Schools,1,1,Shifting Boundaries,2654,11.7,5,50.7,1,1,7.3,US,NY,1,1,1,"Over the course of a 6- to 10-week period, schools also employed ""hot-spot"" mapping and temporary building-based restraining orders. The school also increased staff presence and put up awareness posters.","5,6",6,0,NA,4,"1,2,4,5",NA,NA,NA,"1,2,4,5"
Taylor,2013,Anne,Classroom only,Shifting Boundaries: An Experimental Evaluation of a Dating Violence Prevention Program in Middle Schools,1,1,Shifting Boundaries,2654,11.8,5,55.5,1,1,12.6,US,NY,1,1,1,"Over the course of a 6-session curriculum, students learn the consequences for perpetrators of dating violence and sexual harrassment (DV/H), how to communicate boundaries in relationships, and the role of bystanders as interveners.","1,2,4,5",6,0,NA,4,"1,2,4,5,7",NA,NA,NA,"1,2,4,5,7"
Taylor,2013,Jennifer,Building Only,Shifting Boundaries: An Experimental Evaluation of a DatingViolence Prevention Program in Middle Schools,1,1,Shifting Boundaries,2654,11.7,5,50.7,1,1,7.3,US,New York,1,1,1,"30 public middle schools in NYC received random assignment of intervention (either classroom, building, combined, or neither). Classrooms received a Shifting Boundaries intervention. Building interventions included increased staff presence, posters, and restraining orders. The authors looked at pre-intervention, immediately post intervention, and 6 months post intervention.","5,6",30,0,"1, 2, 7",6,NA,NA,NA,NA,"1, 2, 7"
Taylor,2013,Jennifer,Classroom Only,Shifting Boundaries: An Experimental Evaluation of a DatingViolence Prevention Program in Middle Schools,1,1,Shifting Boundaries,2654,11.8,5,55.5,1,1,12.6,US,New York,1,1,1,"30 public middle schools in NYC received random assignment of intervention (either classroom, building, combined, or neither). Classrooms received a Shifting Boundaries intervention. Building interventions included increased staff presence, posters, and restraining orders. The authors looked at pre-intervention, immediately post intervention, and 6 months post intervention.","1,2,4,5",6,0,"1,2,7",6,NA,NA,NA,NA,"1,2,7"
Taylor,2013,Jennifer,Building & Classroom,Shifting Boundaries: An Experimental Evaluation of a DatingViolence Prevention Program in Middle Schools,1,1,Shifting Boundaries,2654,11.8,5,54.7,1,1,13.4,US,New York,1,1,1,"30 public middle schools in NYC received random assignment of intervention (either classroom, building, combined, or neither). Classrooms received a Shifting Boundaries intervention. Building interventions included increased staff presence, posters, and restraining orders. The authors looked at pre-intervention, immediately post intervention, and 6 months post intervention.","1,2,4,5,6",30,0,"1, 2,7",6,NA,NA,NA,NA,"1, 2,7"
Taylor,2013,Paloma,SB Building only,Shifting Boundaries: An Experimental Evaluation of a Dating Violence Prevention Program in Middle Schools,1,1,Shifting Boundaries,2655,11.7,5,55.50%,1,1,0.126,US,NY,1,1,1,"In over 6-10 weeks, the six-session curriculum emphasized the consequences for perpetrators of DV/H, state and federal laws related to DV/H, the setting and communicating of one’s boundaries in interpersonal relationships, and the role of bystanders as interveners.","1,2,4",6 sessions,0,NA,7,NA,NA,NA,"1,2,3,4,5","1,2,3,4,5"
Taylor,2013,Paloma,SB Classroom only,Shifting Boundaries: An Experimental Evaluation of a Dating Violence Prevention Program in Middle Schools,1,1,Shifting Boundaries,2655,11.8,5,50.70%,1,1,0.73,US,NY,1,1,1,"The buiding based intervention included the introduction of temporary building-based restraining orders, and the placement of posters in school buildings to increase awareness and reporting of DV/H to school personnel. Likewise, it includes a third component to help schools work with students to identify any unsafe areas of schools through hotspot mapping (also during 6-10 weeks).The buiding based intervention included the introduction of temporary building-based restraining orders, and the placement of posters in school buildings to increase awareness and reporting of DV/H to school personnel. Likewise, it includes a third component to help schools work with students to identify any unsafe areas of schools through hotspot mapping (also during 6-10 weeks).","5,6",6 sessions,0,NA,7,NA,NA,NA,"1,2,3,4,5","1,2,3,4,5"
Taylor,2013,Paloma,SB Building and classroom,Shifting Boundaries: An Experimental Evaluation of a Dating Violence Prevention Program in Middle Schools,1,1,Shifting Boundaries,2655,11.9,5,54.70%,1,1,0.134,US,NY,1,1,1,"Combination of both: In over 6-10 weeks, the six-session curriculum emphasized the consequences for perpetrators of DV/H, state and federal laws related to DV/H, the setting and communicating of one’s boundaries in interpersonal relationships, and the role of bystanders as interveners.","1,2,5,6",6 sessions,0,NA,7,NA,NA,NA,"1,2,3,4,5","1,2,3,4,5"
Warthe,2013,Matej,Stepping Up workshop,Stepping Up: A Peer-to-Peer Dating Violence Prevention Project on a Post-Secondary Campus,1,2,Stepping Up,NA,NA,5,33.3,3,3,63,CA,NA,0,4,NA,"The Stepping Up project is a prospective longitudinal study, with repeated measures of behaviours, knowledge, and attitudes toward dating violence before and after participation in a dating violence prevention project. Stepping Up is based on Making Waves/Vague par vague. The Stepping Up project addressed the four components of the ecological model: individual, relationship, community, and society. Examples of these components as applied to a dating violence prevention curriculum include the following:
1. Individual – vulnerability (e.g., self-esteem, gender, incapacitation with drugs/alcohol), self-protective behaviours, risks;
2. Relationships – healthy relationships, power and control, conflict resolution;
3. Community – sources for seeking help, role of bystander or peers (i.e., social responsibility); and
4. Society – the role of myths (e.g., relationships or sexual assaults) and gender stereotypes (e.g., masculinity).
These components were also incorporated at a program delivery level. The program was aimed at facilitating changes in individuals and their relationships. The community was actively involved, with a number of advisory members and project partners. Their involvement demonstrated the commitment of the university and the external community to the prevention of dating violence and the willingness to seek social change. Development of a critical mass of people with awareness and capacity related to dating violence prevention, coupled with the use of peer group facilitators, has the potential to effect wider social change.",2,4,0,NA,3,"1,2,4,9",30,0.5,NA,"1,2,4,9"
Alexander,2014,Arielle,NA,Adolescent Dating Violence: Application of a U.S. Primary Prevention Program in St. Lucia,1,2,Choose Respect,1569,NA,3,58.56164384,1,1,NA,St. Lucia,NA,1,4,1,in-class curriculum addressing dating abuse and healthy relationships,"2,4,5",4,0,"1,10,11",5,NA,NA,NA,NA,"1,10,11"
Anton,2014,Arielle,Expert/strong,The Effects of Persuasive Communication on Knowledge and Attitudinal Outcome of a Sexual Harassment Training Program,4,2,NA,42,20.05,5,45.2,3,3,78.6,US,NA,0,4,0.5,video on sexual harrassment by expert with strong argument,4,1,0,"1,2,11",5,NA,NA,NA,NA,"1,2,11"
Anton,2014,Arielle,Expert/weak,The Effects of Persuasive Communication on Knowledge and Attitudinal Outcome of a Sexual Harassment Training Program,4,2,NA,34,18.91,5,47.1,3,3,79.4,US,NA,0,4,0.5,video on sexual harrassment by expert with weak argument,4,1,0,"1,2,11",5,NA,NA,NA,NA,"1,2,11"
Anton,2014,Arielle,Nonexpert/strong,The Effects of Persuasive Communication on Knowledge and Attitudinal Outcome of a Sexual Harassment Training Program,4,2,NA,38,19.24,5,50,3,3,92.1,US,NA,0,4,0.5,video on sexual harrassment by nonexpert with strong argument,4,1,0,"1,2,11",5,NA,NA,NA,NA,"1,2,11"
Anton,2014,Arielle,Nonexpert/weak,The Effects of Persuasive Communication on Knowledge and Attitudinal Outcome of a Sexual Harassment Training Program,4,2,NA,40,20.18,5,52.5,3,3,82.5,US,NA,0,4,0.5,video on sexual harrassment by nonexpert with weak argument,4,1,0,"1,2,11",5,NA,NA,NA,NA,"1,2,11"
Asgharzadeh,2014,Arielle,moral ideals + pre/post,Mortality Framing and Sexual Harassment Training Effectiveness,4,2,NA,23,19.72,5,NA,3,3,NA,US,NA,0,4,0.5,training video with promotion-focused message framing,"4,7",1,0,"1,2,3,4,5,7,9,10",5,NA,NA,NA,NA,"1,2,3,4,5,7,9,10"
Asgharzadeh,2014,Arielle,moral ideals + post only,Mortality Framing and Sexual Harassment Training Effectiveness,4,2,NA,39,19.72,5,NA,3,3,NA,US,NA,0,4,0.5,training video with promotion-focused message framing,"4,7",1,0,"1,2,3,4,5,7,9,10",5,NA,NA,NA,NA,"1,2,3,4,5,7,9,10"
Asgharzadeh,2014,Arielle,moral obligations + pre/post,Mortality Framing and Sexual Harassment Training Effectiveness,4,2,NA,24,19.72,5,NA,3,3,NA,US,NA,0,4,0.5,training video with prevention-focused message framing,"4,7",1,0,"1,2,3,4,5,7,9,10",5,NA,NA,NA,NA,"1,2,3,4,5,7,9,10"
Asgharzadeh,2014,Arielle,moral obligations + post only,Mortality Framing and Sexual Harassment Training Effectiveness,4,2,NA,40,19.72,5,NA,3,3,NA,US,NA,0,4,0.5,training video with prevention-focused message framing,"4,7",1,0,"1,2,3,4,5,7,9,10",5,NA,NA,NA,NA,"1,2,3,4,5,7,9,10"
Austrian,2014,Arielle,savings plus,"Can economic assets increase girls' risk of sexual harassment? Evaluation results from a social, health and economic asset-building intervention for vulnerable adolescent girls in Uganda",1,2,NA,764,NA,2,0,"1,2,3,4",5,NA,Uganda,NA,0,1,NA,safe spaces group meetings with reproductive health and financial education plus savings accounts,NA,52,0,11,5,NA,NA,NA,NA,11
Austrian,2014,Arielle,savings only,"Can economic assets increase girls' risk of sexual harassment? Evaluation results from a social, health and economic asset-building intervention for vulnerable adolescent girls in Uganda",1,2,NA,613,NA,2,0,"1,2,3,4",5,NA,Uganda,NA,0,1,NA,received savings accounts,NA,52,0,11,5,NA,NA,NA,NA,11
Baker,2014,Arielle,treatment and control,Utilizing a Train-the-Trainer Model for Sexual Violence Prevention: Findings From a Pilot Study with High School Students of Asian and Pacific Islander Descent in Hawai'i,1,2,Respect,136,NA,5,44.10147059,2,2,74.40147059,USA,Hawaii,1,1,0.5,curriculum to include sexual violence in health education classes,8,6,0,"1,2,4",5,NA,NA,NA,NA,"1,2,4"
Boafo,2014,Arielle,treatment and control,"Dating Violence and Self-Efficacy for Delayed Sex among Adolescents in Cape Town, South Africa",1,2,NA,3655,NA,5,51.9,2,2,NA,South Africa,Cape Town,0,1,0.5,dating violence and delayed sex intervention,8,NA,1,11,5,NA,NA,NA,NA,11
